id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,material,internal_tag
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012.0,Casual,Pitaraa Women Bronze Beaded Bracelet,Mixed,CLTH-048311
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,Cotton,CLTH-007990
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Mixed,CLTH-056019
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Leather,CLTH-021977
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,Cotton,CLTH-037812
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Cotton,CLTH-004729
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,Cotton,CLTH-056825
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014.0,Casual,Gas Men Europa White Shoes,Mixed,CLTH-039988
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,Mixed,CLTH-059051
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,Cotton,CLTH-020099
58183,Women,Accessories,Bags,Handbags,White,Summer,2012.0,Casual,Rocky S Women White Handbag,Leather,CLTH-058183
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012.0,Casual,Kiara Women Teal Handbag,Leather,CLTH-029742
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,Metal,CLTH-051658
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,Cotton,CLTH-003954
18839,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Formal,Peter England Men Formal Black Belt,Leather,CLTH-018839
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Leather Brown Flats,Mixed,CLTH-002886
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,Metal,CLTH-023278
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,Cotton,CLTH-028690
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,Mixed,CLTH-008580
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,Synthetic,CLTH-003168
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,Polyester,CLTH-018005
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016.0,Casual,Levis Men Boxer Maroon Brief,Mixed,CLTH-017871
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,Cotton,CLTH-009452
38402,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Baggit Women Hood Dabang Black Belt,Leather,CLTH-038402
44984,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Women White Dial Watch,Metal,CLTH-044984
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Mixed,CLTH-010268
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,Cotton,CLTH-045856
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Playboy Men Blue Titanium Briefs,Mixed,CLTH-032138
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Arrow Men Black Formal Shoes,Mixed,CLTH-059435
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,Cotton,CLTH-005891
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,Cotton,CLTH-038630
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Cotton,CLTH-004943
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,Metal,CLTH-011188
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,Cotton,CLTH-010866
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012.0,Ethnic,FNF Pink & Grey Wedding Collection Sari,Mixed,CLTH-059607
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,Cotton,CLTH-015528
45258,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Metal,CLTH-045258
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Handbag,Leather,CLTH-042841
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,Mixed,CLTH-022198
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Mixed,CLTH-029570
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,Police Women Passion Perfume,Mixed,CLTH-043993
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,Synthetic,CLTH-006628
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts,Polyester,CLTH-054924
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes,Mixed,CLTH-026538
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Peperone Women Black & White Handbag,Leather,CLTH-035913
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Vans Men Khaki Shoes,Mixed,CLTH-049495
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Cotton,CLTH-009660
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,Cotton,CLTH-002288
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,Polyester,CLTH-023876
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,Cotton,CLTH-018237
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats,Mixed,CLTH-054118
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Leather Flats,Mixed,CLTH-002872
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mineral Women Green Top,Cotton,CLTH-049653
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011.0,Casual,Crocs Dora Boots Pink Sandals,Leather,CLTH-008574
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Image Men Sunglasses,Plastic,CLTH-016957
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,Rubber,CLTH-019123
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,Cotton,CLTH-013419
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,Mixed,CLTH-017885
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013.0,Casual,Reebok Men Black Possession Flip Flops,Rubber,CLTH-043369
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012.0,Casual,Lucera Women Silver Pendant,Mixed,CLTH-048781
44970,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Analog Chronograph Watch,Metal,CLTH-044970
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017.0,,Streetwear Ash Nail Polish # 31,Mixed,CLTH-056489
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012.0,Casual,Peter England Unisex Orange Sleeve Bag,Mixed,CLTH-039524
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,Synthetic,CLTH-033822
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Tonga Women Maroon Top,Cotton,CLTH-058513
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012.0,Casual,Femella Women Brown Scarf,Mixed,CLTH-025947
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012.0,,Just Natural Unisex Charcoal Rain Jacket,Mixed,CLTH-052029
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,Cotton,CLTH-005865
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress,Chiffon,CLTH-039716
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Levis Men Red Brief,Mixed,CLTH-025349
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals,Leather,CLTH-011940
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017.0,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Mixed,CLTH-055802
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,Cotton,CLTH-029584
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017.0,Casual,DKNY Women Red Delicious Perfume,Mixed,CLTH-043967
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,Chiffon,CLTH-028456
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,Cotton,CLTH-034009
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,Mixed,CLTH-019311
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,Synthetic,CLTH-042089
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Unisex Black Dial Watch 9915PP13,Metal,CLTH-022950
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,Mixed,CLTH-049461
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs,Rubber,CLTH-008746
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,Cotton,CLTH-009694
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,Synthetic,CLTH-023882
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,Synthetic,CLTH-034835
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,Cotton,CLTH-015984
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Arrow Men Black Wallet,Mixed,CLTH-041268
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,Mixed,CLTH-011518
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Wallets,Mixed,CLTH-014856
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals,Leather,CLTH-033648
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,Cotton,CLTH-059297
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,Mixed,CLTH-028032
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,Polyester,CLTH-027846
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,Denim,CLTH-026994
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012.0,Casual,iPanema Women Red Flip Flops,Rubber,CLTH-049839
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,Leather,CLTH-031923
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,Mixed,CLTH-002618
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,Cotton,CLTH-054588
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring,Mixed,CLTH-049005
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Cotton,CLTH-008322
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016.0,Casual,ADIDAS Unisex Three Small Dials White Watches,Metal,CLTH-013841
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,Plastic,CLTH-028200
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,Synthetic,CLTH-012993
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,Cotton,CLTH-007158
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,Leather,CLTH-018495
8110,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Economy 2 Analg Black Watch,Metal,CLTH-008110
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,Polyester,CLTH-019547
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,Cotton,CLTH-007964
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017.0,Casual,Giorgio Armani Women Idole Perfume,Mixed,CLTH-036934
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012.0,Ethnic,Aneri Women Black & Maroon Salwar Suit,Mixed,CLTH-039140
20851,Women,Accessories,Bags,Clutches,Red,Winter,2015.0,Casual,Spice Art Women Ribbon Embroidery Red Clutch,Mixed,CLTH-020851
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,Leather,CLTH-041866
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Rocky S Women Brown Handbag,Leather,CLTH-058177
44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals,Leather,CLTH-044528
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts,Cotton,CLTH-016392
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012.0,Casual,Tonga Women Pink Printed Shrug,Mixed,CLTH-051455
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Chromozome Men Grey Briefs,Mixed,CLTH-050587
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Cotton,CLTH-017240
47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,Mixed,CLTH-047530
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt,Cotton,CLTH-006617
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Sports,Nike Unisex Swoosh Black Backpack,Canvas,CLTH-012732
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt,Cotton,CLTH-003365
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,Synthetic,CLTH-042042
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,Mixed,CLTH-023849
43190,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch,Metal,CLTH-043190
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,Mixed,CLTH-048578
30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,Mixed,CLTH-030462
18208,Men,Accessories,Headwear,Caps,White,Fall,2011.0,Casual,Manchester United Men Solid White Cap,Mixed,CLTH-018208
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Heels,Mixed,CLTH-054127
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,Cotton,CLTH-010065
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes,Mixed,CLTH-024250
32335,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,Metal,CLTH-032335
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear Vest,Mixed,CLTH-025382
56670,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Men Black Dial Watch,Metal,CLTH-056670
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Cotton,CLTH-005092
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Cotton,CLTH-010859
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,FNF Green Wedding Collection Sari,Mixed,CLTH-059638
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011.0,Casual,Rockport Men LLandro Red Casual Shoes,Mixed,CLTH-015517
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,2015.0,Casual,Skechers Women Green Shoe,Mixed,CLTH-004140
36795,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Maxima Men Ssteele Silver Dial Watch,Metal,CLTH-036795
40527,Men,Accessories,Watches,Watches,Gold,Winter,2016.0,Casual,Titan Men Gold Dial Watch,Metal,CLTH-040527
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers,Denim,CLTH-010257
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt,Cotton,CLTH-024062
45869,Men,Accessories,Watches,Watches,Brown,Winter,2016.0,Casual,Maxima Men Brown Dial Watch,Metal,CLTH-045869
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,Polyester,CLTH-011385
53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Brown Sandals,Mixed,CLTH-053130
44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017.0,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,Mixed,CLTH-044187
21510,Women,Accessories,Bags,Handbags,White,Winter,2015.0,Casual,Kiara Women Graphiti White Handbag,Leather,CLTH-021510
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses,Plastic,CLTH-051667
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt,Cotton,CLTH-022395
35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Mixed,CLTH-035322
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Lotto Unisex Canvas Black Check Shoe,Mixed,CLTH-006425
18806,Men,Accessories,Belts,Belts,Tan,Summer,2011.0,Casual,Peter England Men Casual Tan Belt,Leather,CLTH-018806
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Arrow Men Formal Black Shoe,Mixed,CLTH-023247
17072,Women,Accessories,Belts,Belts,Grey,Winter,2015.0,Casual,Lino Perros Women Weaved  Grey Belt,Leather,CLTH-017072
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Paula Blue Top,Cotton,CLTH-031782
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Vans Unisex Black & Grey Classic Shoes,Mixed,CLTH-042270
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts,Cotton,CLTH-012500
26735,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,Mixed,CLTH-026735
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Printed Black T-shirt,Cotton,CLTH-030650
56026,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Colorbar Soft Touch Mousse Lipstick 025,Mixed,CLTH-056026
21948,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Leather,CLTH-021948
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012.0,Casual,ONLY Women directoire blue Trousers,Denim,CLTH-032563
58980,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,2017.0,Casual,Colour me Women Flowers Deo,Mixed,CLTH-058980
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top,Cotton,CLTH-040143
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes,Mixed,CLTH-010633
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Vishudh Women Red Printed Kurta,Cotton,CLTH-024406
4716,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Sports,ADIDAS Unisex Response ST Analogue Black Watch,Metal,CLTH-004716
21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011.0,Casual,s.Oliver Women Stripes Beige Top,Cotton,CLTH-021174
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011.0,Sports,Nike Women Solid Pink Shorts,Polyester,CLTH-015341
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015.0,Casual,Red Rose Maroon Camisole,Mixed,CLTH-052486
53554,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016.0,Casual,Probase Multicoloured Printed Boxers,Mixed,CLTH-053554
